example,N,engine,heuristic,seed,success,pattern_frequency_kl,pattern_edge_frequency_kl,decoded_tile_frequency_kl,decoded_tile_edge_frequency_kl,runtime_seconds,conflicts,backtracks
Stick,1,ordinary WFC,uniform,0,True,0.22918051593415126,0.6568186732427661,0.22918051593415126,0.6568186732427661,0.071844532,,0
Stick,1,WFC-as-SAT,uniform,0,True,0.22918051593415126,0.6568186732427661,0.22918051593415126,0.6568186732427661,0.08162111700000002,0,0
Stick,1,ordinary WFC,frequency,0,True,0.0005797540099439884,0.07359290077663175,0.0005797540099439884,0.07359290077663175,0.096174388,,0
Stick,1,WFC-as-SAT,frequency,0,True,0.0005797540099439884,0.07359290077663175,0.0005797540099439884,0.07359290077663175,0.09431257499999995,0,0
Stick,1,ordinary WFC,context,0,True,0.014653101446669925,0.010432084040368654,0.014653101446669925,0.010432084040368654,0.09683859700000003,,0
Stick,1,WFC-as-SAT,context,0,True,0.014653101446669925,0.010432084040368654,0.014653101446669925,0.010432084040368654,0.09868009300000002,0,0
Stick,1,ordinary WFC,uniform,1,True,0.2022460705241299,0.5067612849982357,0.2022460705241299,0.5067612849982357,0.07204437600000002,,0
Stick,1,WFC-as-SAT,uniform,1,True,0.2022460705241299,0.5067612849982357,0.2022460705241299,0.5067612849982357,0.07592647600000002,0,0
Stick,1,ordinary WFC,frequency,1,True,0.00011402782215475318,0.08193588864214363,0.00011402782215475318,0.08193588864214363,0.09364123099999999,,0
Stick,1,WFC-as-SAT,frequency,1,True,0.00011402782215475318,0.08193588864214363,0.00011402782215475318,0.08193588864214363,0.09257893100000003,0,0
Stick,1,ordinary WFC,context,1,True,0.00903253341734496,0.0055025856520313455,0.00903253341734496,0.0055025856520313455,0.09153672300000004,,0
Stick,1,WFC-as-SAT,context,1,True,0.00903253341734496,0.0055025856520313455,0.00903253341734496,0.0055025856520313455,0.09824338599999982,0,0
Stick,1,ordinary WFC,uniform,2,True,0.2022460705241299,0.6022947699826379,0.2022460705241299,0.6022947699826379,0.0731135420000002,,0
Stick,1,WFC-as-SAT,uniform,2,True,0.2022460705241299,0.6022947699826379,0.2022460705241299,0.6022947699826379,0.07706231899999993,0,0
Stick,1,ordinary WFC,frequency,2,True,4.738058860077974e-05,0.10603266412883429,4.738058860077974e-05,0.10603266412883429,0.09603703600000002,,0
Stick,1,WFC-as-SAT,frequency,2,True,4.738058860077974e-05,0.10603266412883429,4.738058860077974e-05,0.10603266412883429,0.092029476,0,0
Stick,1,ordinary WFC,context,2,True,0.0012498478033385347,0.005924896543365431,0.0012498478033385347,0.005924896543365431,0.10002982700000018,,0
Stick,1,WFC-as-SAT,context,2,True,0.0012498478033385347,0.005924896543365431,0.0012498478033385347,0.005924896543365431,0.100179354,0,0
Stick,1,ordinary WFC,uniform,3,True,0.20980332494572151,0.5521359128161709,0.20980332494572151,0.5521359128161709,0.07166142200000003,,0
Stick,1,WFC-as-SAT,uniform,3,True,0.20980332494572151,0.5521359128161709,0.20980332494572151,0.5521359128161709,0.07459813300000007,0,0
Stick,1,ordinary WFC,frequency,3,True,0.002214503517879541,0.06994232416753837,0.002214503517879541,0.06994232416753837,0.09473983799999997,,0
Stick,1,WFC-as-SAT,frequency,3,True,0.002214503517879541,0.06994232416753837,0.002214503517879541,0.06994232416753837,0.09310232099999993,0,0
Stick,1,ordinary WFC,context,3,True,4.738058860077974e-05,0.003251633705016504,4.738058860077974e-05,0.003251633705016504,0.09967080900000003,,0
Stick,1,WFC-as-SAT,context,3,True,4.738058860077974e-05,0.003251633705016504,4.738058860077974e-05,0.003251633705016504,0.09847437899999978,0,0
Stick,1,ordinary WFC,uniform,4,True,0.19850932210496255,0.5546581081123474,0.19850932210496255,0.5546581081123474,0.07124139499999993,,0
Stick,1,WFC-as-SAT,uniform,4,True,0.19850932210496255,0.5546581081123474,0.19850932210496255,0.5546581081123474,0.07640096200000013,0,0
Stick,1,ordinary WFC,frequency,4,True,0.0016758794977550853,0.10714885766347937,0.0016758794977550853,0.10714885766347937,0.09116355600000015,,0
Stick,1,WFC-as-SAT,frequency,4,True,0.0016758794977550853,0.10714885766347937,0.0016758794977550853,0.10714885766347937,0.09108849099999983,0,0
Stick,1,ordinary WFC,context,4,True,0.0027044681214487935,0.0022403520815699723,0.0027044681214487935,0.0022403520815699723,0.096580742,,0
Stick,1,WFC-as-SAT,context,4,True,0.0027044681214487935,0.0022403520815699723,0.0027044681214487935,0.0022403520815699723,0.09654283900000005,0,0
Stick,1,ordinary WFC,uniform,5,True,0.21362363233917298,0.6215551509807262,0.21362363233917298,0.6215551509807262,0.07017141199999966,,0
Stick,1,WFC-as-SAT,uniform,5,True,0.21362363233917298,0.6215551509807262,0.21362363233917298,0.6215551509807262,0.07510352900000017,0,0
Stick,1,ordinary WFC,frequency,5,True,0.0008840937746982889,0.08696758782038881,0.0008840937746982889,0.08696758782038881,0.09300027899999996,,0
Stick,1,WFC-as-SAT,frequency,5,True,0.0008840937746982889,0.08696758782038881,0.0008840937746982889,0.08696758782038881,0.09123211900000028,0,0
Stick,1,ordinary WFC,context,5,True,0.018595912699175002,0.019604987928417295,0.018595912699175002,0.019604987928417295,0.09535337900000007,,0
Stick,1,WFC-as-SAT,context,5,True,0.018595912699175002,0.019604987928417295,0.018595912699175002,0.019604987928417295,0.0943330320000002,0,0
Stick,1,ordinary WFC,uniform,6,True,0.1948006290937666,0.5463151074347944,0.1948006290937666,0.5463151074347944,0.07206149699999997,,0
Stick,1,WFC-as-SAT,uniform,6,True,0.1948006290937666,0.5463151074347944,0.1948006290937666,0.5463151074347944,0.07577763799999993,0,0
Stick,1,ordinary WFC,frequency,6,True,4.738058860077974e-05,0.10160109515624678,4.738058860077974e-05,0.10160109515624678,0.09427359500000021,,0
Stick,1,WFC-as-SAT,frequency,6,True,4.738058860077974e-05,0.10160109515624678,4.738058860077974e-05,0.10160109515624678,0.0913170799999996,0,0
Stick,1,ordinary WFC,context,6,True,0.00033801663695705135,0.0035788955261277537,0.00033801663695705135,0.0035788955261277537,0.09905140599999962,,0
Stick,1,WFC-as-SAT,context,6,True,0.00033801663695705135,0.0035788955261277537,0.00033801663695705135,0.0035788955261277537,0.09871107700000037,0,0
Stick,1,ordinary WFC,uniform,7,True,0.1874678320010601,0.520266178453566,0.1874678320010601,0.520266178453566,0.07228250000000003,,0
Stick,1,WFC-as-SAT,uniform,7,True,0.1874678320010601,0.520266178453566,0.1874678320010601,0.520266178453566,0.07690334599999993,0,0
Stick,1,ordinary WFC,frequency,7,True,2.2862949333223373e-05,0.08184299402552753,2.2862949333223373e-05,0.08184299402552753,0.0926111249999999,,0
Stick,1,WFC-as-SAT,frequency,7,True,2.2862949333223373e-05,0.08184299402552753,2.2862949333223373e-05,0.08184299402552753,0.09155109099999947,0,0
Stick,1,ordinary WFC,context,7,True,0.00805690150709324,0.005368650600512795,0.00805690150709324,0.005368650600512795,0.09669337600000016,,0
Stick,1,WFC-as-SAT,context,7,True,0.00805690150709324,0.005368650600512795,0.00805690150709324,0.005368650600512795,0.09750948300000051,0,0
Stick,1,ordinary WFC,uniform,8,True,0.19850932210496255,0.5344170311778547,0.19850932210496255,0.5344170311778547,0.07102173300000025,,0
Stick,1,WFC-as-SAT,uniform,8,True,0.19850932210496255,0.5344170311778547,0.19850932210496255,0.5344170311778547,0.07555924199999975,0,0
Stick,1,ordinary WFC,frequency,8,True,0.00033801663695705135,0.09715125470643106,0.00033801663695705135,0.09715125470643106,0.0921553580000003,,0
Stick,1,WFC-as-SAT,frequency,8,True,0.00033801663695705135,0.09715125470643106,0.00033801663695705135,0.09715125470643106,0.09216521100000019,0,0
Stick,1,ordinary WFC,context,8,True,0.017235523587093814,0.014267958265197781,0.017235523587093814,0.014267958265197781,0.09241047400000024,,0
Stick,1,WFC-as-SAT,context,8,True,0.017235523587093814,0.014267958265197781,0.017235523587093814,0.014267958265197781,0.09586079200000075,0,0
Stick,1,ordinary WFC,uniform,9,True,0.18024854881566196,0.5573632233420406,0.18024854881566196,0.5573632233420406,0.0721674090000004,,0
Stick,1,WFC-as-SAT,uniform,9,True,0.18024854881566196,0.5573632233420406,0.18024854881566196,0.5573632233420406,0.0786062550000004,0,0
Stick,1,ordinary WFC,frequency,9,True,0.0008204960284418396,0.1071262929910571,0.0008204960284418396,0.1071262929910571,0.09519478499999945,,0
Stick,1,WFC-as-SAT,frequency,9,True,0.0008204960284418396,0.1071262929910571,0.0008204960284418396,0.1071262929910571,0.09433700099999953,0,0
Stick,1,ordinary WFC,context,9,True,0.0008840937746982889,0.0019428824888526467,0.0008840937746982889,0.0019428824888526467,0.09596632900000035,,0
Stick,1,WFC-as-SAT,context,9,True,0.0008840937746982889,0.0019428824888526467,0.0008840937746982889,0.0019428824888526467,0.0981008499999998,0,0
Stick,1,ordinary WFC,uniform,10,True,0.20980332494572151,0.6068812543293841,0.20980332494572151,0.6068812543293841,0.07301963000000011,,0
Stick,1,WFC-as-SAT,uniform,10,True,0.20980332494572151,0.6068812543293841,0.20980332494572151,0.6068812543293841,0.07538771500000063,0,0
Stick,1,ordinary WFC,frequency,10,True,0.0005111303366110726,0.09056149821053651,0.0005111303366110726,0.09056149821053651,0.09371622899999998,,0
Stick,1,WFC-as-SAT,frequency,10,True,0.0005111303366110726,0.09056149821053651,0.0005111303366110726,0.09056149821053651,0.09300622499999989,0,0
Stick,1,ordinary WFC,context,10,True,0.0071324201362094955,0.005551798328000248,0.0071324201362094955,0.005551798328000248,0.09264366300000049,,0
Stick,1,WFC-as-SAT,context,10,True,0.0071324201362094955,0.005551798328000248,0.0071324201362094955,0.005551798328000248,0.0959717729999996,0,0
Stick,1,ordinary WFC,uniform,11,True,0.19112009656993292,0.5542242315119403,0.19112009656993292,0.5542242315119403,0.07141626599999995,,0
Stick,1,WFC-as-SAT,uniform,11,True,0.19112009656993292,0.5542242315119403,0.19112009656993292,0.5542242315119403,0.07685204300000059,0,0
Stick,1,ordinary WFC,frequency,11,True,0.00033801663695705135,0.10283326777150764,0.00033801663695705135,0.10283326777150764,0.09352663099999958,,0
Stick,1,WFC-as-SAT,frequency,11,True,0.00033801663695705135,0.10283326777150764,0.00033801663695705135,0.10283326777150764,0.09339946699999935,0,0
Stick,1,ordinary WFC,context,11,True,0.0016758794977550853,0.001089029512982721,0.0016758794977550853,0.001089029512982721,0.09675109100000068,,0
Stick,1,WFC-as-SAT,context,11,True,0.0016758794977550853,0.001089029512982721,0.0016758794977550853,0.001089029512982721,0.0985424290000001,0,0
Stick,1,ordinary WFC,uniform,12,True,0.18384394528870296,0.6204724485701567,0.18384394528870296,0.6204724485701567,0.07435905499999951,,0
Stick,1,WFC-as-SAT,uniform,12,True,0.18384394528870296,0.6204724485701567,0.18384394528870296,0.6204724485701567,0.07509547200000011,0,0
