example,N,engine,heuristic,runs,average_runtime_seconds,median_runtime_seconds,runtime_stdev_seconds,peak_memory,average_conflicts,average_backtracks,successes,failures
Stick,1,Plain SAT/CDCL,solver,1,0.02516468599999655,0.02516468599999655,0.0,NOT MEASURED,0,0,1,0
Stick,1,WFC-as-SAT,context,100,0.09842459097999993,0.09799849249999948,0.003931684091526977,NOT MEASURED,0,0,100,0
Stick,1,WFC-as-SAT,frequency,100,0.09404255446999986,0.09363495900000096,0.0032836744393348995,NOT MEASURED,0,0,100,0
Stick,1,WFC-as-SAT,uniform,100,0.07666878620000002,0.07620347450000153,0.0027369206105151917,NOT MEASURED,0,0,100,0
Stick,1,ordinary WFC,context,100,0.09710459345999968,0.09667033349999832,0.004433330576398329,NOT MEASURED,N/A,0,100,0
Stick,1,ordinary WFC,frequency,100,0.09448340776999978,0.09457302000000034,0.0022615201480495934,NOT MEASURED,N/A,0,100,0
Stick,1,ordinary WFC,uniform,100,0.07219252916000023,0.07224559299999989,0.0020810485822514166,NOT MEASURED,N/A,0,100,0
Zelda,1,ordinary WFC,context,100,0.6478248052199987,0.644596302000009,0.04327331585748075,NOT MEASURED,N/A,0,100,0
Zelda,1,ordinary WFC,frequency,100,0.6909816158699988,0.6827869399999997,0.039066430659592574,NOT MEASURED,N/A,0,100,0
Zelda,1,ordinary WFC,uniform,100,0.5024896412100003,0.49174158100000653,0.04903775748869166,NOT MEASURED,N/A,0,100,0
