example,N,heuristic,runs,wfc_pattern_frequency_kl,sat_pattern_frequency_kl,wfc_pattern_edge_frequency_kl,sat_pattern_edge_frequency_kl,wfc_decoded_tile_frequency_kl,sat_decoded_tile_frequency_kl,wfc_decoded_tile_edge_frequency_kl,sat_decoded_tile_edge_frequency_kl,wfc_successes,sat_successes
Stick,1,uniform,100,0.2010846842237507,0.2010846842237507,0.566717484645524,0.566717484645524,0.2010846842237507,0.2010846842237507,0.566717484645524,0.566717484645524,100,100
Stick,1,frequency,100,0.00020102901257655105,0.00020102901257655105,0.0850506570922597,0.0850506570922597,0.00020102901257655105,0.00020102901257655105,0.0850506570922597,0.0850506570922597,100,100
Stick,1,context,100,0.0026080369709736324,0.0026080369709736324,0.0008374397430467918,0.0008374397430467918,0.0026080369709736324,0.0026080369709736324,0.0008374397430467918,0.0008374397430467918,100,100
Zelda,1,uniform,100,0.2913850877172263,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,1.4665268859892502,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,0.2913850877172263,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,1.4665268859892502,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,100,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched
Zelda,1,frequency,100,0.14111030154256854,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,1.5374915608948967,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,0.14111030154256854,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,1.5374915608948967,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,100,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched
Zelda,1,context,100,0.0411693331628234,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,0.06535074795832634,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,0.0411693331628234,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,0.06535074795832634,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched,100,MISSING — one-seed pilot exceeded 90 seconds and was stopped; 100-run rerun not launched
Stick,1,Plain SAT,1,N/A,0.5018593443745004,N/A,0.9980429974661365,N/A,0.5018593443745004,N/A,0.9980429974661365,N/A,1
Zelda,3,uniform,0,"MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical",0,0
Zelda,3,frequency,0,"MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical",0,0
Zelda,3,context,0,"MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical",0,0
Zelda,3,Plain SAT,0,"MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical","MISSING — no saved Zelda N=3 outputs; current 2,958-pattern SAT compiler scale is impractical",0,0
